Arquivo,Numero_de_Linhas
ACAILANDIA.csv,558
ALCANTARA.csv,181
ARAIOSES.csv,637
BACABAL.csv,168
BARRA_DO_CORDA.csv,18
BARREIRINHAS.csv,80
BURITICUPU.csv,270
CAMPUS_AVANÃ‡ADO_CAROLINA.csv,220
CAXIAS.csv,540
CENTRO_HISTORICO.csv,377
COD.csv,850
COELHO_NETO.csv,76
ITAPECURU_MIRIN.csv,179
MARACANA.csv,1122
MONTE_CASTELO.csv,1589
PED.csv,70
PINHEIRO.csv,307
PORTO_FRANCO.csv,132
PRESIDENTE_DUTRA.csv,47
REIT.csv,575
ROS.csv,51
SANTA_INES.csv,284
SAO_JOAO_DOS_PATOS.csv,290
SAO_JOSE_RIBAMAR.csv,22
SRAIMUNDO_MANGABEIRAS.csv,29
SRM.csv,533
TIMON.csv,248
VIANA.csv,67
ZE_DOCA.csv,111
